price,square_feet,bedrooms,bathrooms,cat_apart,cat_home,cat_short,clubhouse,fireplace,gated,balcony,sport,gym,pool,parking,laundry,tv,elevator,wood_floor,pets_allowed,metro_area,source,id
645,430,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rentdigs,5508852856
660,535,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rentdigs,5508799069
875,800,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rentdigs,5667488041
995,875,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,rentcafe,5652497473
1600,944,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rentdigs,5509208953
1599,1022,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rentdigs,5508868255
1750,1100,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rentdigs,5509267104
1349,1159,2,2,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,rentdigs,5509251336
1047,910,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,rentdigs,5508938507
1292,1184,2,2,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,rentdigs,5508938566
2935,765,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,rentlingo,5668626197
884,656,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,rentdigs,5509120459
996,746,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,rentdigs,5509119833
1115,930,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,rentdigs,5509122344
1488,1150,3,2,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,rentdigs,5509215562
1170,600,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,rentdigs,5509125341
1048,751,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,rentdigs,5658294018
1341,1034,2,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,rentdigs,5661067287
1326,1034,2,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,rentdigs,5654898533
2165,667,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,rentdigs,5508808783
1745,428,2,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,rentdigs,5509062745
1830,456,2,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,rentdigs,5509059481
750,400,0,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,rentdigs,5649365290
760,972,2,2,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509070044
940,979,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,rentdigs,5508889531
964,827,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,rentdigs,5508941313
919,868,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,rentdigs,5508941733
1325,1100,2,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,rentdigs,5509018755
1395,1200,2,2,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,rentdigs,5509017950
1425,647,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509226233
1425,647,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509230784
1425,647,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509226788
1740,854,2,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509230231
1770,904,2,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509234766
1770,904,2,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509227082
1870,911,2,2,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,rentdigs,5509223793
823,700,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,rentdigs,5509256142
770,900,2,2,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,listedbuy,5668251142
1005,824,2,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,rentdigs,5509072556
2082,1115,2,2,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,rentdigs,5509119685
1395,1200,2,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,rentdigs,5509018527
